container,vessel,shipped_date,week,audited,success
MNBU4150609,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4151138,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4151420,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4151565,SANTA RITA,25/02/2023 00:00,202308,0,
MNBU4152134,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4152237,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4153275,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4153470,SANTA CLARA,29/01/2023 00:00,202305,0,
MNBU4153552,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4154158,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4154944,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4155004,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4155350,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4155597,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4156021,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4156335,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4156377,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4156778,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4157959,MAERSK VALLVIK,13/01/2023 00:00,202302,0,
MNBU4158359,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4158385,MOL PRESENCE,21/12/2022 00:00,202251,0,
MNBU4159078,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4159503,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4159838,MSC SHIRLEY,04/02/2023 00:00,202305,1,1
MNBU4159993,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4160119,KALAHARI EXPRESS,01/02/2023 00:00,202305,0,
MNBU4160443,SANTA CRUZ,28/12/2022 00:00,202252,1,1
MNBU4160700,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4160802,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4161136,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4161460,KALAHARI EXPRESS,04/02/2023 00:00,202305,1,1
MNBU4161671,KALAHARI EXPRESS,08/12/2022 00:00,202249,0,
MNBU4161835,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4161901,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4162533,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4162723,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4162976,KALAHARI EXPRESS,04/02/2023 00:00,202305,1,1
MNBU4163273,SANTA CLARA,29/01/2023 00:00,202305,0,
MNBU4163885,KALAHARI EXPRESS,12/02/2023 00:00,202307,0,
MNBU4168887,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4169712,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4169780,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4169991,ALS FLORA,05/03/2023 00:00,202310,0,
MNBU4170879,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4171263,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4172296,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4173348,SANTA ISABEL,05/02/2023 00:00,202306,0,
MNBU4173498,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4173590,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4174344,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4174581,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4175280,MAERSK VARNA,24/11/2022 00:00,202247,1,1
MNBU4175593,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4175870,APL COLUMBUS,27/12/2022 00:00,202252,1,1
MNBU4176516,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4176769,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4177092,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4177195,MSC ACAPULCO,05/03/2023 00:00,202310,0,
MNBU4177662,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4177852,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4178041,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4178102,MAERSK VISBY,16/01/2023 00:00,202303,0,
MNBU4178329,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4178458,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4178524,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4179140,MAERSK DANUBE,22/02/2023 00:00,202308,1,1
MNBU4179264,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4179670,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4180326,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4180671,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4180753,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4180795,KALAHARI EXPRESS,04/02/2023 00:00,202305,1,1
MNBU4180917,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4181174,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4182078,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4182139,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4182381,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4182735,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4182859,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4183475,SANTA CLARA,29/01/2023 00:00,202305,0,
MNBU4183710,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4183752,MSC KOREA,08/12/2022 00:00,202249,1,1
MNBU4184039,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4184194,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4185478,SANTA TERESA,16/01/2023 00:00,202303,1,1
MNBU4185652,MAERSK PANGANI,04/02/2023 00:00,202305,1,1
MNBU4186535,SANTA CRUZ,05/03/2023 00:00,202310,0,
MNBU4188060,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4188522,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4188712,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4189046,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4190279,SANTA TERESA,12/01/2023 00:00,202302,0,
MNBU4190664,SANTA CRUZ,28/12/2022 00:00,202252,1,1
MNBU4191763,SANTA RITA,12/02/2023 00:00,202307,1,1
MNBU4191911,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4192461,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4192693,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4192733,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4192820,MSC SHIRLEY,04/02/2023 00:00,202305,1,1
MNBU4193088,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4193344,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4193350,MAERSK PANGANI,30/11/2022 00:00,202248,1,1
MNBU4193508,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4196030,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4196180,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4196214,MSC ACAPULCO,05/03/2023 00:00,202310,0,
MNBU4196322,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4197822,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4198027,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4198182,KALAHARI EXPRESS,04/02/2023 00:00,202305,1,1
MNBU4198310,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4199471,SANTA CRUZ,05/03/2023 00:00,202310,0,
MNBU4199511,MSC ACAPULCO,24/02/2023 00:00,202308,0,
MNBU4199574,MSC KOREA,08/12/2022 00:00,202249,1,1
MNBU4199790,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4200398,SANTA RITA,14/12/2022 00:00,202250,0,
MNBU4200588,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4200607,SANTA RITA,25/02/2023 00:00,202308,0,
MNBU4200654,SANTA CRUZ,05/03/2023 00:00,202310,0,
MNBU4201603,SANTA RITA,11/02/2023 00:00,202306,1,1
MNBU4201814,SANTA TERESA,16/01/2023 00:00,202303,1,1
MNBU4201898,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4202940,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4203205,SANTA CRUZ,05/03/2023 00:00,202310,1,1
MNBU4204937,SANTA RITA,20/02/2023 00:00,202308,0,
MNBU4205050,UNKNOWN,27/10/2022 00:00,202243,0,
MNBU4205358,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4206307,MAERSK PANGANI,04/02/2023 00:00,202305,0,
MNBU4206400,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4206842,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
